Sample	STAR_uniquely_mapped_percent-1	STAR_uniquely_mapped-1	FastQC_percent_duplicates-1	FastQC_percent_gc-1	FastQC_avg_sequence_length-1	FastQC_percent_fails-1	FastQC_total_sequences-1
0_1a_S1	78.7	97825500.0					
0_1a_S1._STARpass1	78.87	98033310.0					
0_1a_S1_R1			88.8743027370408	52.0	20.0	16.666666666666664	124373902.0
0_1a_S1_R2			25.02544657812669	41.0	60.0	16.666666666666664	124373902.0
0_1b_S2	79.36	107101942.0					
0_1b_S2._STARpass1	79.21	106901687.0					
0_1b_S2_R1			90.61563219482544	53.0	20.0	16.666666666666664	135040077.0
0_1b_S2_R2			27.01057428001053	41.0	60.0	16.666666666666664	135040077.0
0_2a_S1	79.89	373958899.0					
0_2a_S1._STARpass1	79.92	374077914.0					
0_2a_S1_R1			91.88632957991933	53.0	20.0	16.666666666666664	468461809.0
0_2a_S1_R2			20.101186306584893	42.0	60.0	16.666666666666664	468461809.0
0_2b_S2	72.51	52406080.0					
0_2b_S2._STARpass1	72.78	52599333.0					
0_2b_S2_R1			80.98421601881662	53.0	20.0	16.666666666666664	72315070.0
0_2b_S2_R2			2.4655564913658026	40.0	60.0	16.666666666666664	72315070.0
HP1_S1	82.6	151810077.0					
HP1_S1._STARpass1	81.76	150277814.0					
HP1_S1_R1			91.81142523479896	51.0	20.0	16.666666666666664	183955580.0
HP1_S1_R2			13.943464234193954	41.0	54.0	16.666666666666664	183955580.0
HP3_S1	78.89	142059025.0					
HP3_S1._STARpass1	78.94	142155119.0					
HP3_S1_R1			91.39679868673828	51.0	20.0	16.666666666666664	180171050.0
HP3_S1_R2			33.80451556459863	41.0	60.0	16.666666666666664	180171050.0
PFC1_S2	79.6	96100495.0					
PFC1_S2._STARpass1	80.47	97156276.0					
PFC1_S2_R1			84.23120547313727	51.0	20.0	16.666666666666664	120840155.0
PFC1_S2_R2			19.804811548166327	41.0	54.0	16.666666666666664	120840155.0
PFC3_S2	80.36	128428557.0					
PFC3_S2._STARpass1	80.29	128308416.0					
PFC3_S2_R1			89.45655295443629	51.0	20.0	16.666666666666664	159896675.0
PFC3_S2_R2			30.706148310976133	41.0	60.0	16.666666666666664	159896675.0
mHP2_S1	77.36	150873355.0					
mHP2_S1._STARpass1	76.94	150049791.0					
mHP2_S1_R1			92.69129493167974	51.0	20.0	16.666666666666664	195100563.0
mHP2_S1_R2			36.79259223951692	41.0	60.0	16.666666666666664	195100563.0
mPFC2_S2	80.47	86928555.0					
mPFC2_S2._STARpass1	79.22	85573770.0					
mPFC2_S2_R1			83.21556056838142	51.0	20.0	16.666666666666664	108062476.0
mPFC2_S2_R2			37.77111574639882	41.0	60.0	16.666666666666664	108062476.0
