Module	Section	Sample Name	Source
STAR	SummaryLog	PFC1_S2	/cluster/scratch/mholub/logs/PFC1_S2.Log.final.out
STAR	SummaryLog	mHP2_S1	/cluster/scratch/mholub/logs/mHP2_S1.Log.final.out
STAR	SummaryLog	mPFC2_S2	/cluster/scratch/mholub/logs/mPFC2_S2.Log.final.out
STAR	SummaryLog	HP3_S1	/cluster/scratch/mholub/logs/HP3_S1.Log.final.out
STAR	SummaryLog	HP1_S1	/cluster/scratch/mholub/logs/HP1_S1.Log.final.out
STAR	SummaryLog	PFC3_S2	/cluster/scratch/mholub/logs/PFC3_S2.Log.final.out
STAR	SummaryLog	0_1a_S1	/cluster/scratch/mholub/logs/0_1a_S1.Log.final.out
STAR	SummaryLog	0_2b_S2	/cluster/scratch/mholub/logs/0_2b_S2.Log.final.out
STAR	SummaryLog	0_2a_S1	/cluster/scratch/mholub/logs/0_2a_S1.Log.final.out
STAR	SummaryLog	0_1b_S2	/cluster/scratch/mholub/logs/0_1b_S2.Log.final.out
STAR	SummaryLog		/cluster/scratch/mholub/logs/0_1b_S2._STARpass1/Log.final.out
FastQC	all_sections	0_2b_S2_R1	/cluster/scratch/mholub/logs/0_2b_S2_R1_fastqc/fastqc_data.txt
FastQC	all_sections	mPFC2_S2_R2	/cluster/scratch/mholub/logs/mPFC2_S2_R2_fastqc/fastqc_data.txt
FastQC	all_sections	0_1b_S2_R1	/cluster/scratch/mholub/logs/0_1b_S2_R1_fastqc/fastqc_data.txt
FastQC	all_sections	0_2b_S2_R2	/cluster/scratch/mholub/logs/0_2b_S2_R2_fastqc/fastqc_data.txt
FastQC	all_sections	0_1b_S2_R2	/cluster/scratch/mholub/logs/0_1b_S2_R2_fastqc/fastqc_data.txt
FastQC	all_sections	HP3_S1_R1	/cluster/scratch/mholub/logs/HP3_S1_R1_fastqc/fastqc_data.txt
FastQC	all_sections	0_2a_S1_R1	/cluster/scratch/mholub/logs/0_2a_S1_R1_fastqc/fastqc_data.txt
FastQC	all_sections	0_2a_S1_R2	/cluster/scratch/mholub/logs/0_2a_S1_R2_fastqc/fastqc_data.txt
FastQC	all_sections	HP3_S1_R2	/cluster/scratch/mholub/logs/HP3_S1_R2_fastqc/fastqc_data.txt
FastQC	all_sections	mHP2_S1_R1	/cluster/scratch/mholub/logs/mHP2_S1_R1_fastqc/fastqc_data.txt
FastQC	all_sections	mHP2_S1_R2	/cluster/scratch/mholub/logs/mHP2_S1_R2_fastqc/fastqc_data.txt
FastQC	all_sections	HP1_S1_R1	/cluster/scratch/mholub/logs/HP1_S1_R1_fastqc/fastqc_data.txt
FastQC	all_sections	HP1_S1_R2	/cluster/scratch/mholub/logs/HP1_S1_R2_fastqc/fastqc_data.txt
FastQC	all_sections	PFC3_S2_R1	/cluster/scratch/mholub/logs/PFC3_S2_R1_fastqc/fastqc_data.txt
FastQC	all_sections	PFC3_S2_R2	/cluster/scratch/mholub/logs/PFC3_S2_R2_fastqc/fastqc_data.txt
FastQC	all_sections	0_1a_S1_R1	/cluster/scratch/mholub/logs/0_1a_S1_R1_fastqc/fastqc_data.txt
FastQC	all_sections	0_1a_S1_R2	/cluster/scratch/mholub/logs/0_1a_S1_R2_fastqc/fastqc_data.txt
FastQC	all_sections	PFC1_S2_R1	/cluster/scratch/mholub/logs/PFC1_S2_R1_fastqc/fastqc_data.txt
FastQC	all_sections	PFC1_S2_R2	/cluster/scratch/mholub/logs/PFC1_S2_R2_fastqc/fastqc_data.txt
FastQC	all_sections	mPFC2_S2_R1	/cluster/scratch/mholub/logs/mPFC2_S2_R1_fastqc/fastqc_data.txt
