Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
0_1a_S1	124298838.0	56.0	97825500.0	78.7	55.57	4527215.0	4160503.0	4179834.0	66474.0	7905.0	273002.0	2.09	0.0	1.26	0.01	1.06	13464256.0	10.83	1580048.0	1.27	0.0	6.07	3.13	0	7540678	3888356
0_1a_S1._STARpass1	124298838.0	56.0	98033310.0	78.87	55.54	3657893.0	3111309.0	3343451.0	40240.0	5025.0	269177.0	2.04	0.0	1.26	0.01	1.05	13232042.0	10.65	1619011.0	1.3	0.0	6.06	3.12	0	7535046	3879429
0_1b_S2	134958856.0	56.0	107101942.0	79.36	55.41	5416330.0	5017242.0	5041198.0	63008.0	8583.0	303541.0	2.15	0.0	1.27	0.01	1.05	14863187.0	11.01	1774389.0	1.31	0.0	5.09	3.22	0	6872013	4347325
0_1b_S2._STARpass1	134958856.0	56.0	106901687.0	79.21	55.44	3959312.0	3364628.0	3610991.0	43429.0	5672.0	299220.0	2.02	0.0	1.27	0.01	1.05	14466565.0	10.72	1811807.0	1.34	0.0	5.52	3.21	0	7447762	4331035
0_2a_S1	468086532.0	56.0	373958899.0	79.89	55.61	18016927.0	16259826.0	16602132.0	238076.0	40765.0	1135954.0	2.45	0.0	1.33	0.01	1.06	64530948.0	13.79	5860221.0	1.25	0.0	2.32	2.75	0	10861656	12874808
0_2a_S1._STARpass1	468086532.0	56.0	374077914.0	79.92	55.59	10947971.0	8423797.0	9657503.0	144551.0	17136.0	1128781.0	2.38	0.0	1.32	0.01	1.05	63265806.0	13.52	5993984.0	1.28	0.0	2.56	2.72	0	11999432	12749396
0_2b_S2	72274192.0	54.0	52406080.0	72.51	53.14	1380173.0	1166633.0	1231040.0	28481.0	3294.0	117358.0	3.58	0.0	1.31	0.0	1.06	11480631.0	15.88	1188158.0	1.64	0.0	6.61	3.36	0	4773072	2426251
0_2b_S2._STARpass1	72274192.0	54.0	52599333.0	72.78	53.12	1302289.0	965981.0	1168978.0	15363.0	1694.0	116254.0	3.58	0.0	1.31	0.0	1.06	11322705.0	15.67	1219254.0	1.69	0.0	6.53	3.34	0	4719132	2413768
HP1_S1	183792899.0	51.0	151810077.0	82.6	50.71	10842446.0	10237272.0	6083104.0	4371389.0	11116.0	376837.0	1.48	0.0	1.26	0.0	1.06	20592522.0	11.2	2765401.0	1.5	0.0	0.08	4.61	0	147120	8477779
HP1_S1._STARpass1	183792899.0	51.0	150277814.0	81.76	50.93	5553576.0	4738903.0	5127573.0	61293.0	6873.0	357837.0	1.18	0.0	1.25	0.0	1.05	21638667.0	11.77	3602259.0	1.96	0.0	0.21	4.29	0	386127	7888032
HP3_S1	180069677.0	55.0	142059025.0	78.89	55.77	8249267.0	7745224.0	7574428.0	248610.0	10559.0	415670.0	1.2	0.0	1.27	0.01	1.06	16712405.0	9.28	2460686.0	1.37	0.0	6.14	4.32	0	11057612	7779949
HP3_S1._STARpass1	180069677.0	55.0	142155119.0	78.94	55.82	5771827.0	5002314.0	5290324.0	63590.0	7461.0	410452.0	1.04	0.0	1.26	0.01	1.06	15838247.0	8.8	2529629.0	1.4	0.0	6.55	4.3	0	11800071	7746611
PFC1_S2	120734031.0	50.0	96100495.0	79.6	50.81	5171311.0	4746201.0	4901821.0	51548.0	5936.0	212006.0	1.33	0.0	1.27	0.0	1.06	16355645.0	13.55	1902300.0	1.58	0.0	0.74	4.54	0	893549	5482042
PFC1_S2._STARpass1	120734031.0	50.0	97156276.0	80.47	50.63	4013110.0	3508340.0	3765055.0	38435.0	4759.0	204861.0	1.3	0.0	1.27	0.0	1.06	15714904.0	13.02	2565892.0	2.13	0.0	0.27	4.11	0	326525	4970434
PFC3_S2	159807573.0	55.0	128428557.0	80.36	55.91	7459423.0	7050199.0	7035473.0	76305.0	9529.0	338116.0	1.27	0.0	1.29	0.0	1.06	14923011.0	9.34	2075870.0	1.3	0.0	5.08	3.92	0	8116787	6263348
PFC3_S2._STARpass1	159807573.0	55.0	128308416.0	80.29	55.94	5729917.0	5076245.0	5328284.0	59477.0	7340.0	334816.0	1.14	0.0	1.29	0.01	1.06	14370839.0	8.99	2109177.0	1.32	0.0	5.49	3.91	0	8771817	6247324
mHP2_S1	195032508.0	55.0	150873355.0	77.36	55.33	8203711.0	7687900.0	7593070.0	212099.0	10232.0	388310.0	1.85	0.0	1.27	0.0	1.06	21501164.0	11.02	2797930.0	1.43	0.0	6.23	3.95	0	12154044	7706015
mHP2_S1._STARpass1	195032508.0	55.0	150049791.0	76.94	55.48	5509286.0	4734216.0	5062981.0	60628.0	7095.0	378582.0	1.65	0.0	1.27	0.0	1.06	20555255.0	10.54	2867890.0	1.47	0.0	7.14	3.92	0	13918205	7641367
mPFC2_S2	108023855.0	55.0	86928555.0	80.47	55.33	4455298.0	4175454.0	4185134.0	48708.0	5829.0	215627.0	1.58	0.0	1.28	0.0	1.07	11167682.0	10.34	1526347.0	1.41	0.0	3.94	3.84	0	4254628	4146643
mPFC2_S2._STARpass1	108023855.0	55.0	85573770.0	79.22	55.84	3882638.0	3446841.0	3624611.0	38225.0	4741.0	215061.0	1.35	0.0	1.28	0.0	1.06	10609026.0	9.82	1552693.0	1.44	0.0	5.7	3.83	0	6153587	4134779
